Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
177,19,[7249.708984375],90,83,5.119200830488136,3360.5012845904166,-1836634.9461682627
178,49,[13087.58984375],91,83,5.119200830488136,-6749.464037068451,-1843384.4102053312
179,20,[58784.46875],91,84,5.119200830488136,3582.408575468782,-1839802.0016298625
180,80,[20704.568359375],92,84,5.119200830488136,-4664.032179047885,-1844466.0338089103
181,5,[10704.7822265625],92,85,4.863240788963729,2019.0087021783843,-1842447.0251067318
182,18,[3573.336181640625],92,86,4.863240788963729,3320.1330088450354,-1839126.8920978867
183,299,[19501.544921875],92,86,4.863240788963729,10993.277703737682,-1828133.614394149
184,14,[4763.49755859375],92,87,4.863240788963729,2964.4437306682375,-1825169.1706634809
185,109,[49594.36328125],93,87,4.863240788963729,-5958.286906054292,-1831127.4575695351
186,5,[58049.390625],93,88,4.863240788963729,2021.289448185331,-1829106.1681213498
187,44,[15387.6064453125],93,89,4.863240788963729,4342.260789067221,-1824763.9073322825
188,217,[10489.3955078125],94,89,4.863240788963729,3018.5045112132048,-1821745.4028210694
189,25,[28707.396484375],94,90,4.863240788963729,3710.5463961599517,-1818034.8564249093
190,160,[36144.09765625],95,90,4.863240788963729,1217.2579256048575,-1816817.5984993044
191,15,[67310.9296875],95,91,4.863240788963729,1555.8129720916418,-1815261.7855272128
192,15,[1541.4696044921875],96,91,4.863240788963729,-15647.270938059115,-1830909.0564652719
193,131,[31802.8046875],97,91,4.863240788963729,-24895.31999732268,-1855804.3764625946
194,52,[66757.375],98,91,4.863240788963729,-4897.782816185546,-1860702.1592787802
195,144,[12061.03125],99,91,4.863240788963729,128.14102450875725,-1860574.0182542715
196,7,[31303.998046875],99,92,4.620078749515542,2216.7472985263184,-1858357.2709557451
197,116,[22895.068359375],99,93,4.620078749515542,-8809.64956819657,-1867166.9205239417
198,183,[17052.109375],100,93,4.620078749515542,455.1101171868577,-1866711.810406755
199,81,[29937.033203125],100,94,4.620078749515542,-2155.067159971162,-1868866.8775667262
200,13,[2052.1181640625],100,95,4.620078749515542,2833.2593383101316,-1866033.618228416
201,90,[84903.0703125],100,96,4.620078749515542,8530.488083707307,-1857503.1301447086
202,67,[6473.20458984375],101,96,4.620078749515542,-6873.518033724276,-1864376.6481784328
203,66,[35913.16796875],101,97,4.620078749515542,7207.041832285632,-1857169.6063461471
204,49,[43039.59765625],101,98,4.620078749515542,2237.0087947175757,-1854932.5975514296
205,162,[11230.5625],102,98,4.620078749515542,3459.022309204236,-1851473.5752422253
206,280,[61737.03125],103,98,4.620078749515542,4634.815378279933,-1846838.7598639454
207,29,[18022.236328125],103,99,4.620078749515542,3942.3299631401733,-1842896.4299008052
208,83,[3896.66015625],104,99,4.620078749515542,-4138.8250985272625,-1847035.2549993326
209,8,[8142.513671875],104,100,4.620078749515542,2306.8346784427863,-1844728.42032089
210,80,[167439.421875],104,101,4.620078749515542,8822.577623847677,-1835905.8426970423
211,102,[19606.94921875],105,101,4.389074812039765,-5949.302052047029,-1841855.1447490894
212,33,[33802.45703125],105,102,4.389074812039765,4826.894657048777,-1837028.2500920405
213,299,[14868.7529296875],105,102,4.389074812039765,13703.96481308402,-1823324.2852789564
214,104,[4618.025390625],106,102,4.389074812039765,-6106.265263632469,-1829430.5505425888
215,5,[36853.43359375],106,103,4.389074812039765,2056.114856827552,-1827374.4356857613
216,20,[4549.666015625],106,104,4.389074812039765,3622.706761921877,-1823751.7289238393
217,192,[135577.9375],107,104,4.389074812039765,3589.624741302556,-1820162.1041825367
218,28,[17423.025390625],108,104,4.389074812039765,-11490.563518467974,-1831652.6677010048
219,11,[7640.48828125],108,105,4.389074812039765,2702.810345845544,-1828949.8573551592
220,299,[16437.44140625],108,105,4.389074812039765,24637.83990185026,-1804312.017453309
221,62,[52377.46875],108,106,4.389074812039765,7316.762917338077,-1796995.2545359707
222,11,[308731.40625],108,107,4.389074812039765,1524.9989226370383,-1795470.2556133338
223,37,[8041.55859375],108,108,4.389074812039765,4134.038296075882,-1791336.217317258
224,13,[19881.349609375],108,109,4.389074812039765,1479.7073156437395,-1789856.5100016142
225,8,[15115.015625],108,110,4.389074812039765,2286.259633623288,-1787570.250367991
226,40,[32326.853515625],109,110,4.169621071437777,-6551.716955316514,-1794121.9673233074
227,152,[18177.044921875],109,111,4.169621071437777,12549.678591399474,-1781572.288731908
228,9,[10649.142578125],109,112,4.169621071437777,2409.7484470443424,-1779162.5402848637
229,141,[8246.0732421875],110,112,4.169621071437777,-8504.658941495163,-1787667.199226359
230,23,[38880.26171875],111,112,4.169621071437777,-7987.648918852565,-1795654.8481452116
231,7,[16359.9765625],111,113,4.169621071437777,2175.209562049566,-1793479.638583162
232,111,[4906.48486328125],112,113,4.169621071437777,-2590.3325134000706,-1796069.9710965622
233,11,[14467.0654296875],112,114,4.169621071437777,2467.415398328704,-1793602.5556982334
234,21,[19532.986328125],113,114,4.169621071437777,-7995.808585277275,-1801598.3642835107
235,57,[32753.453125],114,114,4.169621071437777,-10442.621112595352,-1812040.985396106
236,122,[9158.24609375],114,115,4.169621071437777,10660.978549290852,-1801380.006846815
237,44,[23817.96875],114,116,4.169621071437777,5505.061109742106,-1795874.945737073
238,33,[3652.0654296875],114,117,4.169621071437777,4991.741910036415,-1790883.2038270365
239,0,[19035.513671875],115,117,4.169621071437777,-10000.0,-1800883.2038270365
240,113,[18545.783203125],116,117,4.169621071437777,-2267.811553346718,-1803151.0153803832
241,299,[17027.310546875],116,117,3.9611400178658878,17886.403888926827,-1785264.6114914564
242,181,[16373.1708984375],117,117,3.9611400178658878,3610.6459862142237,-1781653.965505242
243,145,[11424.671875],117,118,3.9611400178658878,14689.316716138004,-1766964.648789104
244,40,[5341.01220703125],117,119,3.9611400178658878,5080.202497326656,-1761884.4462917773
245,299,[10751.98046875],117,119,3.9611400178658878,20035.170754725972,-1741849.2755370513
246,264,[19323.837890625],118,119,3.9611400178658878,11727.478302273339,-1730121.7972347778
247,247,[83756.75],118,120,3.9611400178658878,10899.746052531184,-1719222.0511822465
248,83,[14336.4580078125],118,121,3.9611400178658878,9189.139956086212,-1710032.9112261604
249,93,[9934.2255859375],118,122,3.9611400178658878,3530.1404929106016,-1706502.7707332498
250,243,[80550.3984375],118,123,3.9611400178658878,17141.356108105836,-1689361.414625144
251,162,[38257.83203125],119,123,3.9611400178658878,-10974.247464975233,-1700335.6620901194
252,299,[4910.837890625],119,123,3.9611400178658878,16842.423140135827,-1683493.2389499836
253,97,[111784.7890625],119,124,3.9611400178658878,7488.306786717918,-1676004.9321632658
254,72,[136673.421875],120,124,3.9611400178658878,-4722.897488316673,-1680727.8296515825
255,62,[112218.28125],121,124,3.9611400178658878,-4403.755254961376,-1685131.5849065438
256,299,[24753.0234375],121,124,3.763083016972593,25082.48851328015,-1660049.0963932637
257,42,[23969.119140625],122,124,3.763083016972593,-7678.447830841633,-1667727.5442241053
258,110,[17705.158203125],123,124,3.763083016972593,186.74246791583755,-1667540.8017561894
259,299,[33363.171875],123,124,3.763083016972593,7788.2669396628235,-1659752.5348165266
260,92,[70222.4453125],123,125,3.763083016972593,11879.845292296639,-1647872.6895242298
261,68,[8392.5654296875],124,125,3.763083016972593,-8155.475083494248,-1656028.1646077242
262,86,[5759.681640625],124,126,3.763083016972593,636.4490542653023,-1655391.7155534588
263,28,[66569.8203125],124,127,3.763083016972593,4076.487819419254,-1651315.2277340395
264,18,[24631.40625],124,128,3.763083016972593,3471.1496769045903,-1647844.078057135
265,130,[14855.2861328125],125,128,3.763083016972593,1575.8131483841244,-1646268.2649087508
266,299,[7676.83740234375],125,128,3.763083016972593,28420.51731196836,-1617847.7475967824
267,32,[56569.20703125],125,129,3.763083016972593,655.5116928497129,-1617192.2359039327
268,81,[26801.138671875],126,129,3.763083016972593,-4920.0990496021295,-1622112.3349535349
269,219,[9090.0517578125],127,129,3.763083016972593,8412.889260694494,-1613699.4456928405
270,65,[95407.6875],127,130,3.763083016972593,8020.730594578737,-1605678.7150982618
271,41,[16709.0078125],127,131,3.574928866123963,4651.411205103762,-1601027.303893158
272,299,[83694.9296875],127,131,3.574928866123963,-4929.623004224404,-1605956.9268973824
273,68,[16091.8671875],128,131,3.574928866123963,-7583.210138845486,-1613540.1370362279
274,21,[12306.0478515625],128,132,3.574928866123963,3470.8531663700883,-1610069.2838698577
275,299,[22558.916015625],128,132,3.574928866123963,16809.332246248374,-1593259.9516236093
276,118,[10089.6064453125],128,133,3.574928866123963,8289.162446194186,-1584970.7891774152
277,74,[18303.84375],129,133,3.574928866123963,-5587.570642481823,-1590558.359819897
278,4,[18815.25390625],129,134,3.574928866123963,1902.2412645875638,-1588656.1185553095
279,130,[5350.087890625],130,134,3.574928866123963,2387.3407215914995,-1586268.7778337179
280,182,[31625.931640625],131,134,3.574928866123963,-2600.743745748082,-1588869.521579466
281,299,[5329.96142578125],131,134,3.574928866123963,20708.209979786614,-1568161.3115996795
282,15,[57945.40234375],132,134,3.574928866123963,-9757.84570998532,-1577919.1573096649
283,46,[22330.865234375],133,134,3.574928866123963,-5354.680374400776,-1583273.8376840656
284,83,[24720.755859375],134,134,3.574928866123963,-5671.359402474726,-1588945.1970865403
285,5,[71836.90625],134,135,3.574928866123963,1997.9978548088764,-1586947.1992317315
286,153,[250451.015625],135,135,3.396182422817765,-15367.698502211628,-1602314.897733943
287,18,[129247.9140625],135,136,3.396182422817765,3490.297232339209,-1598824.600501604
288,91,[18314.55859375],135,137,3.396182422817765,9121.476959574333,-1589703.1235420296
289,7,[197951.265625],135,138,3.396182422817765,2189.3884659976466,-1587513.735076032
290,253,[45269.82421875],136,138,3.396182422817765,-11313.243215756269,-1598826.9782917884
291,46,[85080.71875],136,139,3.396182422817765,6151.161356690351,-1592675.816935098
292,96,[7932.71630859375],137,139,3.396182422817765,-1189.8029849422364,-1593865.6199200402
293,2,[11797.5908203125],137,140,3.396182422817765,1709.9387970004027,-1592155.68112304
294,4,[24657.330078125],137,141,3.396182422817765,1900.5920717846673,-1590255.0890512553
295,33,[3665.845458984375],138,141,3.396182422817765,-7788.456029977899,-1598043.5450812331
296,28,[30894.548828125],138,142,3.396182422817765,4025.3657484696337,-1594018.1793327634
297,36,[5948.59130859375],139,142,3.396182422817765,-7054.851760040382,-1601073.0310928037
298,26,[5711.625],140,142,3.396182422817765,-11364.518343507854,-1612437.5494363115
299,99,[14242.1064453125],141,142,3.396182422817765,-18708.923002190113,-1631146.4724385017
300,144,[38084.75390625],142,142,3.396182422817765,3783.7917106766527,-1627362.680727825
301,174,[3952.370361328125],143,142,3.2263733016768765,-2732.772503598855,-1630095.4532314239
302,40,[11677.5625],144,142,3.2263733016768765,-6764.863455321476,-1636860.3166867453
303,33,[2632.388427734375],144,143,3.2263733016768765,4316.1000722227245,-1632544.2166145225
304,28,[7440.81298828125],144,144,3.2263733016768765,4629.572403374803,-1627914.6442111477
305,109,[5917.19482421875],145,144,3.2263733016768765,-2014.984723624295,-1629929.628934772
306,119,[29311.9609375],145,145,3.2263733016768765,11268.507003357588,-1618661.1219314144
307,20,[16850.185546875],145,146,3.2263733016768765,3484.058764926373,-1615177.063166488
308,104,[23243.962890625],145,147,3.2263733016768765,8658.787262425973,-1606518.275904062
309,136,[114568.6796875],145,148,3.2263733016768765,14441.310507997805,-1592076.965396064
310,7,[98029.875],145,149,3.2263733016768765,2198.7501621258834,-1589878.2152339383
311,27,[20861.197265625],146,149,3.2263733016768765,-11314.521098108711,-1601192.736332047
312,14,[16767.705078125],146,150,3.2263733016768765,1822.6211285462732,-1599370.1152035007
313,152,[37351.25390625],147,150,3.2263733016768765,3690.2025012298454,-1595679.9127022708
314,163,[16840.09765625],148,150,3.2263733016768765,840.8277433541916,-1594839.0849589165
315,108,[29716.923828125],149,150,3.2263733016768765,-2102.5379185354805,-1596941.622877452
316,53,[2820.240966796875],149,151,3.0650546365930325,5340.660285309196,-1591600.9625921429
317,299,[261088.484375],149,151,3.0650546365930325,28634.778134217602,-1562966.1844579251
318,31,[33025.25390625],149,152,3.0650546365930325,548.1752559564679,-1562418.0092019688
319,30,[39084.77734375],149,153,3.0650546365930325,4329.074654766535,-1558088.9345472022
320,69,[15473.1845703125],149,154,3.0650546365930325,7573.619863320838,-1550515.3146838814
321,92,[24358.740234375],150,154,3.0650546365930325,-9896.341437933312,-1560411.6561218146
322,104,[4255.78271484375],150,155,3.0650546365930325,9149.708398976938,-1551261.9477228378
323,207,[3950.462158203125],150,156,3.0650546365930325,18806.94252692065,-1532455.005195917
324,62,[2271.0576171875],150,157,3.0650546365930325,4162.653126404077,-1528292.352069513
325,172,[70489.8515625],150,158,3.0650546365930325,9923.33719938036,-1518369.0148701326
326,18,[16188.1611328125],151,158,3.0650546365930325,-8432.137551367583,-1526801.1524215
327,289,[19909.38671875],151,159,3.0650546365930325,25762.126066699147,-1501039.026354801
328,299,[14719.55078125],151,159,3.0650546365930325,20907.922737072975,-1480131.103617728
329,25,[13975.1044921875],151,160,3.0650546365930325,2560.354525022549,-1477570.7490927055
330,45,[7141.42724609375],152,160,3.0650546365930325,-9643.9640332527,-1487214.7131259583
331,43,[34897.234375],152,161,2.9118019047633807,6151.646445864149,-1481063.0666800942
