Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
187,10,0,22353.255859375,76,5.672244687521482,1180.136627216919,-13102661.800085392
188,299,19,110129.5859375,76,5.672244687521482,-43019.74217038998,-13145681.542255782
189,165,0,13300.83984375,77,5.672244687521482,-87548.41236431712,-13233229.954620099
190,299,4,139441.125,77,5.672244687521482,-56741.71047446743,-13289971.665094566
191,299,4,34648.52734375,77,5.672244687521482,-169275.20920127147,-13459246.874295836
192,299,10,148412.984375,77,5.672244687521482,-4460.953265715871,-13463707.827561552
193,299,37,31788.529296875,77,5.672244687521482,-170649.37687134038,-13634357.204432892
194,53,0,141148.859375,78,5.672244687521482,7048.205114279752,-13627308.999318613
195,278,4,81357.5,79,5.672244687521482,-122672.88820749939,-13749981.887526112
196,299,0,100156.9765625,79,5.672244687521482,5606.046146023503,-13744375.841380088
197,4,0,93463.2578125,80,5.672244687521482,1902.482568044822,-13742473.358812043
198,299,20,80090.0078125,80,5.672244687521482,-12652.169821910204,-13755125.528633954
199,299,7,99942.125,80,5.672244687521482,-122230.28001226932,-13877355.808646223
200,25,0,269621.90625,81,5.672244687521482,3813.528036641183,-13873542.280609582
201,156,2,25284.896484375,82,5.388632453145407,-80078.27650549817,-13953620.55711508
202,28,1,56511.00390625,83,5.388632453145407,-14540.651907920015,-13968161.209023
203,42,0,300380.5,84,5.388632453145407,-22192.46091195192,-13990353.669934953
204,299,1,29188.955078125,84,5.388632453145407,-123074.27756343386,-14113427.947498387
205,299,14,61862.609375,84,5.388632453145407,-118805.88761299555,-14232233.835111381
206,299,5,8889.9091796875,84,5.388632453145407,-26522.673477599245,-14258756.50858898
207,299,19,310396.5,84,5.388632453145407,-139442.34600308375,-14398198.854592064
208,172,3,18417.173828125,85,5.388632453145407,-64323.46724117489,-14462522.32183324
209,55,0,69414.875,86,5.388632453145407,-26842.21873171031,-14489364.54056495
210,22,1,13261.4921875,87,5.388632453145407,-11827.78178694769,-14501192.322351899
211,37,0,33583.39453125,88,5.388632453145407,1157.8365566116383,-14500034.485795287
212,299,21,63077.33984375,88,5.388632453145407,-84350.43512885622,-14584384.920924144
213,299,2,19128.240234375,88,5.388632453145407,-98704.55353277634,-14683089.47445692
214,299,36,27310.494140625,88,5.388632453145407,-123830.36017338345,-14806919.834630303
215,299,30,22656.658203125,88,5.388632453145407,-95386.66407467582,-14902306.49870498
216,134,5,22364.447265625,89,5.388632453145407,-65969.52696617397,-14968276.025671152
217,299,13,41250.109375,89,5.388632453145407,-8495.833367083047,-14976771.859038236
218,225,3,660.3171997070312,90,5.388632453145407,-117057.58038564738,-15093829.439423883
219,299,11,208210.75,90,5.388632453145407,-3581.0340155208028,-15097410.473439405
220,299,10,168432.3125,90,5.388632453145407,-111683.13549862322,-15209093.608938027
221,299,16,302990.34375,90,5.119200830488136,-173792.52421578547,-15382886.133153813
222,299,23,109690.875,90,5.119200830488136,-14713.511085953418,-15397599.644239767
223,299,12,6744.443359375,90,5.119200830488136,-33773.21813355577,-15431372.862373322
224,299,17,193208.515625,90,5.119200830488136,-78989.0145397436,-15510361.876913065
225,299,6,93065.8125,90,5.119200830488136,-70327.69673053341,-15580689.573643599
226,299,23,7792.84521484375,90,5.119200830488136,-75373.58665928758,-15656063.160302887
227,299,1,95748.3203125,90,5.119200830488136,-131294.9390628623,-15787358.099365748
228,299,17,32503.298828125,90,5.119200830488136,-153787.41075796666,-15941145.510123715
229,299,2,65730.3984375,90,5.119200830488136,-158235.443228411,-16099380.953352125
230,299,14,140636.921875,90,5.119200830488136,-86498.51458838192,-16185879.467940507
231,289,1,2019.61669921875,91,5.119200830488136,-58040.75027105881,-16243920.218211567
232,77,1,107540.3828125,92,5.119200830488136,-27485.436709640555,-16271405.654921208
233,299,4,179560.890625,92,5.119200830488136,-171452.23710155097,-16442857.892022759
234,225,8,8924.9130859375,93,5.119200830488136,5822.837126006689,-16437035.054896751
235,299,29,92567.46875,93,5.119200830488136,20603.042577983182,-16416432.012318768
236,299,9,60242.97265625,93,5.119200830488136,-140086.8246867831,-16556518.83700555
237,299,8,67897.15625,93,5.119200830488136,-23505.60896101442,-16580024.445966564
238,299,18,30931.685546875,93,5.119200830488136,-73432.31577675797,-16653456.761743322
239,299,7,84460.4140625,93,5.119200830488136,-202.30970714657593,-16653659.071450468
240,42,0,4285.31591796875,94,5.119200830488136,1533.974361608248,-16652125.09708886
241,299,0,77354.5859375,94,4.863240788963729,-59251.31120843326,-16711376.408297293
242,269,12,104768.6015625,95,4.863240788963729,-93124.98237545569,-16804501.390672747
243,299,14,69072.8515625,95,4.863240788963729,-16850.13263437954,-16821351.523307126
244,121,0,89242.8671875,96,4.863240788963729,-48322.91054650233,-16869674.43385363
245,299,15,25227.630859375,96,4.863240788963729,-98650.1227150384,-16968324.556568667
246,299,3,11295.6142578125,96,4.863240788963729,-207668.6660718817,-17175993.222640548
247,299,18,101901.2890625,96,4.863240788963729,-34298.83299380664,-17210292.055634353
248,299,1,8577.9296875,96,4.863240788963729,-95582.71030085236,-17305874.765935205
249,299,32,5720.96435546875,96,4.863240788963729,14107.067813376663,-17291767.698121827
250,299,10,46158.18359375,96,4.863240788963729,-50724.80505835196,-17342492.50318018
251,299,6,97882.4296875,96,4.863240788963729,-100033.06568833819,-17442525.568868518
252,143,4,82387.5703125,97,4.863240788963729,-16025.684585650411,-17458551.253454167
253,299,33,59311.015625,97,4.863240788963729,-42829.68704233159,-17501380.9404965
254,203,2,67964.90625,98,4.863240788963729,-36659.9332923228,-17538040.873788822
255,147,1,28704.0625,99,4.863240788963729,-8588.362881735493,-17546629.236670557
256,171,5,5396.22119140625,100,4.863240788963729,14243.219507558626,-17532386.017162997
257,39,0,21425.369140625,101,4.863240788963729,2439.7180720438346,-17529946.29909095
258,299,0,66424.5390625,101,4.863240788963729,-34772.76244400763,-17564719.06153496
259,299,5,90012.2578125,101,4.863240788963729,-12439.229030780463,-17577158.29056574
260,299,19,16542.88671875,101,4.863240788963729,-4913.742794457063,-17582072.0333602
261,299,43,56078.83984375,101,4.620078749515542,-137168.8784902425,-17719240.91185044
262,299,11,19057.802734375,101,4.620078749515542,-179506.09610012994,-17898747.00795057
263,299,23,14105.6572265625,101,4.620078749515542,20085.743578086407,-17878661.264372483
264,103,1,13434.9423828125,102,4.620078749515542,-48498.09219130611,-17927159.356563788
265,299,20,65078.23828125,102,4.620078749515542,-134505.38870260277,-18061664.74526639
266,299,15,79494.7890625,102,4.620078749515542,-211074.58519173757,-18272739.330458127
267,251,5,6709.91943359375,103,4.620078749515542,-146647.92275424028,-18419387.253212366
268,298,6,97625.3671875,104,4.620078749515542,-151931.53866458876,-18571318.791876957
269,299,2,16377.8564453125,104,4.620078749515542,5084.50547521691,-18566234.28640174
270,299,48,94315.875,104,4.620078749515542,-151630.8979085522,-18717865.184310295
271,299,5,52641.92578125,104,4.620078749515542,-13802.609123830982,-18731667.793434124
272,238,2,5057.14794921875,105,4.620078749515542,-121447.88287304452,-18853115.676307168
273,120,1,149882.046875,106,4.620078749515542,-52204.846850134636,-18905320.523157302
274,299,9,39018.39453125,106,4.620078749515542,-133.63355718480022,-18905454.156714488
275,299,3,30682.083984375,106,4.620078749515542,-96844.62638532405,-19002298.78309981
276,299,20,137247.734375,106,4.620078749515542,-276053.1017284439,-19278351.884828255
277,299,13,6896.07763671875,106,4.620078749515542,21012.896579019336,-19257338.988249235
278,299,15,21433.25,106,4.620078749515542,-115599.81207293317,-19372938.800322168
279,69,2,51331.95703125,107,4.620078749515542,-34032.28864811248,-19406971.08897028
280,299,12,24366.650390625,107,4.620078749515542,-102757.00374703997,-19509728.09271732
281,299,1,11465.6005859375,107,4.389074812039765,-16804.09522336987,-19526532.18794069
282,299,15,76044.2265625,107,4.389074812039765,-71616.3839763058,-19598148.571916997
283,299,31,45501.57421875,107,4.389074812039765,-52827.00602927062,-19650975.577946268
284,78,0,219727.953125,108,4.389074812039765,-61001.64563870543,-19711977.223584972
285,299,14,9082.6279296875,108,4.389074812039765,-62004.370046430166,-19773981.5936314
286,299,11,9432.302734375,108,4.389074812039765,-104146.75827507295,-19878128.351906475
287,41,1,95766.125,109,4.389074812039765,-27686.165569376433,-19905814.51747585
288,3,0,50525.96875,110,4.389074812039765,1812.8833578225358,-19904001.634118028
289,299,0,98325.84375,110,4.389074812039765,-88882.37643646076,-19992884.01055449
290,21,0,12018.5078125,111,4.389074812039765,3115.733630604261,-19989768.276923884
291,27,0,47374.84375,112,4.389074812039765,4403.183594941251,-19985365.09332894
