Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
165,122,56008.42578125,83,73,5.388632453145407,-8421.474812052544,-1890665.5245108071
166,54,10127.4072265625,84,73,5.119200830488136,-5105.859980844714,-1895771.3844916518
167,105,14752.8173828125,85,73,5.119200830488136,-2956.067344234516,-1898727.4518358863
168,191,20842.49609375,85,74,5.119200830488136,5774.689515238935,-1892952.7623206475
169,245,6475.44287109375,86,74,5.119200830488136,4297.926120607841,-1888654.8362000396
170,109,16077.9482421875,87,74,5.119200830488136,-7649.076615822078,-1896303.9128158616
171,33,7906.796875,87,75,5.119200830488136,4432.445146308217,-1891871.4676695534
172,114,5356.203125,88,75,5.119200830488136,-1184.3561556813074,-1893055.8238252345
173,106,20817.142578125,89,75,5.119200830488136,-2438.8682643032544,-1895494.6920895379
174,56,26837.55859375,90,75,5.119200830488136,-3924.582392497842,-1899419.2744820358
175,297,2071.39892578125,91,75,5.119200830488136,4137.381426382561,-1895281.8930556532
176,13,5354.24951171875,92,75,5.119200830488136,-8790.26421200822,-1904072.1572676615
177,183,12384.765625,93,75,5.119200830488136,6564.893610710777,-1897507.2636569508
178,41,18478.4140625,93,76,5.119200830488136,2090.456159874661,-1895416.8074970762
179,207,23328.359375,94,76,5.119200830488136,-9274.703166945148,-1904691.5106640214
180,139,18080.130859375,94,77,5.119200830488136,13715.896730059476,-1890975.6139339618
181,180,37295.40234375,95,77,4.863240788963729,3892.947263230266,-1887082.6666707315
182,14,7533.04248046875,95,78,4.863240788963729,2842.13945287701,-1884240.5272178545
183,250,65870.421875,96,78,4.863240788963729,9742.610422455295,-1874497.9167953993
184,7,85988.9921875,96,79,4.863240788963729,2181.3319491060774,-1872316.584846293
185,128,54662.3671875,97,79,4.863240788963729,-15026.181697247255,-1887342.7665435404
186,8,84670.8671875,97,80,4.863240788963729,2349.858161621709,-1884992.9083819187
187,33,27877.01171875,97,81,4.863240788963729,2266.7188780907713,-1882726.1895038278
188,299,70756.078125,97,81,4.863240788963729,19632.192068775945,-1863093.997435052
189,25,1534.364990234375,97,82,4.863240788963729,4216.880124985676,-1858877.1173100662
190,6,11633.1650390625,97,83,4.863240788963729,2164.5119981526145,-1856712.6053119136
191,15,9929.7265625,97,84,4.863240788963729,3208.825196847841,-1853503.7801150659
192,68,57445.5234375,98,84,4.863240788963729,-4728.686680800248,-1858232.4667958661
193,12,4170.8408203125,98,85,4.863240788963729,2723.7152861606864,-1855508.7515097056
194,159,21084.845703125,99,85,4.863240788963729,1341.802778117648,-1854166.948731588
195,299,12770.0185546875,99,85,4.863240788963729,6328.519442953708,-1847838.4292886343
196,75,14491.5830078125,100,85,4.620078749515542,-4784.1493350748515,-1852622.5786237093
197,21,9239.728515625,100,86,4.620078749515542,-5128.911239866805,-1857751.4898635761
198,36,3784.7890625,100,87,4.620078749515542,3694.697199366266,-1854056.7926642098
199,104,38926.4609375,100,88,4.620078749515542,-4672.366685578292,-1858729.1593497882
