Episode,Epsilon,Instant Reward,Cummulative Reward
167,6.858999999999999,13384.305782983298,3670184.528138461
168,6.858999999999999,27453.160381327507,3697637.6885197884
169,6.858999999999999,26311.313031463935,3723949.0015512523
170,6.858999999999999,14092.756379245066,3738041.757930497
171,6.858999999999999,26295.10087275467,3764336.8588032518
172,6.858999999999999,12326.394935255636,3776663.253738507
173,6.858999999999999,25870.02125266042,3802533.2749911677
174,6.858999999999999,15447.925011582953,3817981.200002751
175,6.858999999999999,26814.13599590152,3844795.3359986525
176,6.858999999999999,17593.76355172228,3862389.099550375
177,6.858999999999999,16572.828936188598,3878961.9284865633
178,6.858999999999999,26364.308435520226,3905326.2369220834
179,6.858999999999999,27122.393987818235,3932448.6309099016
180,6.858999999999999,25711.65128462039,3958160.2821945217
181,6.858999999999999,27150.57045869087,3985310.852653213
182,6.858999999999999,21241.543095792633,4006552.3957490055
183,6.858999999999999,26874.850411270978,4033427.2461602762
184,6.858999999999999,25835.817690575168,4059263.0638508513
185,6.858999999999999,25995.279428631817,4085258.3432794833
186,6.858999999999999,20300.31843371241,4105558.6617131955
187,6.858999999999999,25963.227013777647,4131521.888726973
188,6.858999999999999,26220.746719727093,4157742.6354467003
189,6.858999999999999,27032.717482173233,4184775.3529288736
190,6.858999999999999,13142.095820227307,4197917.448749101
191,6.858999999999999,26954.249614827462,4224871.698363928
192,6.858999999999999,22744.183387842528,4247615.881751771
193,6.858999999999999,24638.76226825663,4272254.6440200275
194,6.858999999999999,26515.364097495094,4298770.008117522
195,6.858999999999999,22398.18973977147,4321168.197857293
196,6.858999999999999,24905.24356612535,4346073.441423419
197,6.858999999999999,20372.262724139215,4366445.704147558
198,6.858999999999999,17616.832951631804,4384062.537099189
199,6.858999999999999,26703.021640823004,4410765.558740012
200,6.858999999999999,6114.322634999255,4416879.881375012
201,6.516049999999999,13122.375412823018,4430002.256787835
202,6.516049999999999,25379.724428779962,4455381.981216615
203,6.516049999999999,25145.403781030836,4480527.384997646
204,6.516049999999999,21780.295210756707,4502307.680208403
205,6.516049999999999,25282.12374058247,4527589.803948985
206,6.516049999999999,14927.027807541977,4542516.831756528
207,6.516049999999999,26073.322645709777,4568590.154402237
208,6.516049999999999,25560.59834465113,4594150.752746888
209,6.516049999999999,25790.23063828011,4619940.983385169
210,6.516049999999999,26596.217447306244,4646537.200832475
211,6.516049999999999,26168.627964077008,4672705.828796552
212,6.516049999999999,25324.256095914126,4698030.084892466
213,6.516049999999999,25745.84328753349,4723775.928179999
214,6.516049999999999,26463.453437902157,4750239.381617901
215,6.516049999999999,26095.36302223192,4776334.744640132
216,6.516049999999999,25397.057260262336,4801731.801900395
217,6.516049999999999,26577.536379942707,4828309.338280338
