2019-04-12  :50:09.388964, duration (m), 2.81656215191, ep, 77, epsilon, 5.58669836875, ep_reward, 873.262351909, total reward, 41670.2594272
2019-04-12  :52:51.026784, duration (m), 1.1039729476, ep, 78, epsilon, 5.58669836875, ep_reward, -1981.24962776, total reward, 39689.0097994
2019-04-12  :57:14.841143, duration (m), 2.82818988164, ep, 79, epsilon, 5.58669836875, ep_reward, 1922.212662, total reward, 41611.2224614
2019-04-12  :59:38.694113, duration (m), 0.82880144914, ep, 80, epsilon, 5.58669836875, ep_reward, -409.211177389, total reward, 41202.0112841
2019-04-12 21:03:52.563599, duration (m), 2.40409688155, ep, 81, epsilon, 5.30736345031, ep_reward, 648.027086727, total reward, 41850.0383708
2019-04-12 21:07:30.718752, duration (m), 2.05588361422, ep, 82, epsilon, 5.30736345031, ep_reward, 4627.98797123, total reward, 46478.026342
2019-04-12 21:11:54.476633, duration (m), 2.82546944618, ep, 83, epsilon, 5.30736345031, ep_reward, -2165.01518399, total reward, 44313.011158
2019-04-12 21:16: .426788, duration (m), 2.83267898162, ep, 84, epsilon, 5.30736345031, ep_reward, 2483.39150647, total reward, 46796.4026645
2019-04-12 21:18:26.813651, duration (m), 0.505932315191, ep, 85, epsilon, 5.30736345031, ep_reward, -1788.61302645, total reward, 45007.789638
2019-04-12 21:22:50.914415, duration (m), 2.83496458133, ep, 86, epsilon, 5.30736345031, ep_reward, 2047.24757269, total reward, 47055.0372107
2019-04-12 21:25:13.794762, duration (m), 0.819790784518, ep, 87, epsilon, 5.30736345031, ep_reward, -1518.54882683, total reward, 45536.4883839
2019-04-12 21:29:40.960402, duration (m), 2.83562925259, ep, 88, epsilon, 5.30736345031, ep_reward, 2887.5182204, total reward, 48424.0066043
2019-04-12 21:34:08.776854, duration (m), 2.85784015258, ep, 89, epsilon, 5.30736345031, ep_reward, -474.981632623, total reward, 47949.0249717
2019-04-12 21:38:16.380829, duration (m), 2.55183440049, ep, 90, epsilon, 5.30736345031, ep_reward, -1297.2244612, total reward, 46651.8005105
2019-04-12 21:42:19.230831, duration (m), 2.22735963265, ep, 91, epsilon, 5.0419952778, ep_reward, 911.225031894, total reward, 47563.0255424
2019-04-12 21:44:01.314781, duration (m), 0.103687433402, ep, 92, epsilon, 5.0419952778, ep_reward, -990.871734085, total reward, 46572.1538083
2019-04-12 21:48:27.105753, duration (m), 2.83655603329, ep, 93, epsilon, 5.0419952778, ep_reward, 3473.90890435, total reward, 50046.0627126
2019-04-12 21:52:50.430073, duration (m), 2.83360453447, ep, 94, epsilon, 5.0419952778, ep_reward, -3914.80060875, total reward, 46131.2621039
2019-04-12 21:57:17.192986, duration (m), 2.84013735056, ep, 95, epsilon, 5.0419952778, ep_reward, 732.878651545, total reward, 46864.1407554
2019-04-12 22:01:42.480894, duration (m), 2.85684128205, ep, 96, epsilon, 5.0419952778, ep_reward, -666.89490697, total reward, 46197.2458485
2019-04-12 22:04:30.570766, duration (m), 1.23545651833, ep, 97, epsilon, 5.0419952778, ep_reward, -333.373794617, total reward, 45863.8720538
2019-04-12 22:07:04.051462, duration (m), 0.979326550166, ep, 98, epsilon, 5.0419952778, ep_reward, 424.702274639, total reward, 46288.5743285
2019-04-12 22:11:26.984138, duration (m), 2.83515111605, ep, 99, epsilon, 5.0419952778, ep_reward, -3472.77078601, total reward, 42815.8035425
2019-04-12 22:14:01.366785, duration (m), 0.982178167502, ep, 100, epsilon, 5.0419952778, ep_reward, -1637.63730574, total reward, 41178.1662367
2019-04-12 22:18:43.858898, duration (m), 2.85504115025, ep, 101, epsilon, 4.78989551391, ep_reward, -1652.67209071, total reward, 39525.494146
2019-04-12 22:23:10.746319, duration (m), 2.85881693363, ep, 102, epsilon, 4.78989551391, ep_reward, -4689.18933551, total reward, 34836.3048105
2019-04-12 22:26:49.981190, duration (m), 2.12488146623, ep, 103, epsilon, 4.78989551391, ep_reward, 1173.64753189, total reward, 36009.9523424
2019-04-12 22:29:40.470779, duration (m), 1.21279626687, ep, 104, epsilon, 4.78989551391, ep_reward, -743.944267055, total reward, 35266.0080753
2019-04-12 22:34:10.362762, duration (m), 2.89133170048, ep, 105, epsilon, 4.78989551391, ep_reward, 3802.31725246, total reward, 39068.3253278
2019-04-12 22:38:36.017705, duration (m), 2.86374030113, ep, 106, epsilon, 4.78989551391, ep_reward, -2263.55637629, total reward, 36804.7689515
2019-04-12 22:43:05.495584, duration (m), 2.8704583168, ep, 107, epsilon, 4.78989551391, ep_reward, 2048.32333801, total reward, 38853.0922895
2019-04-12 22:45:13.770103, duration (m), 0.50574404796, ep, 108, epsilon, 4.78989551391, ep_reward, -1659.24670063, total reward, 37193.8455889
2019-04-12 22:49:44.506782, duration (m), 2.87270764907, ep, 109, epsilon, 4.78989551391, ep_reward, 5057.00505088, total reward, 42250.8506398
2019-04-12 22:54:13.556516, duration (m), 2.8807845513, ep, 110, epsilon, 4.78989551391, ep_reward, -5727.07623068, total reward, 36523.7744091
2019-04-12 22:56:57.637202, duration (m), 0.841438202063, ep, 111, epsilon, 4.55040073821, ep_reward, -1064.76893432, total reward, 35459.0054748
2019-04-12 23:01:27.065237, duration (m), 2.88684311708, ep, 112, epsilon, 4.55040073821, ep_reward, 2887.84140797, total reward, 38346.8468828
2019-04-12 23:05:54.825496, duration (m), 2.8859705011, ep, 113, epsilon, 4.55040073821, ep_reward, 3692.29083047, total reward, 42039.1377132
2019-04-12 23:10:23.690820, duration (m), 2.89333151579, ep, 114, epsilon, 4.55040073821, ep_reward, 1570.14984494, total reward, 43609.2875582
2019-04-12 23:12:59.661476, duration (m), 1.00023076534, ep, 115, epsilon, 4.55040073821, ep_reward, -1916.01860323, total reward, 41693.2689549
2019-04-12 23:17:31.161961, duration (m), 2.894125549, ep, 116, epsilon, 4.55040073821, ep_reward, 3161.26270775, total reward, 44854.5316627
2019-04-12 23:19:52.273734, duration (m), 0.726017634074, ep, 117, epsilon, 4.55040073821, ep_reward, -2103.28910806, total reward, 42751.2425546
2019-04-12 23:21:56.418749, duration (m), 0.458470968405, ep, 118, epsilon, 4.55040073821, ep_reward, -1436.56583837, total reward, 41314.6767163
2019-04-12 23:24:29.146765, duration (m), 0.924506036441, ep, 119, epsilon, 4.55040073821, ep_reward, -531.215852132, total reward, 40783.4608641
2019-04-12 23:26:25.152643, duration (m), 0.334656465054, ep, 120, epsilon, 4.55040073821, ep_reward, -1125.3567657, total reward, 39658.1040984
2019-04-12 23:31:05.590773, duration (m), 2.89331376553, ep, 121, epsilon, 4.3228807013, ep_reward, 4744.37508598, total reward, 44402.4791844
2019-04-12 23:35:33.482525, duration (m), 2.89849030177, ep, 122, epsilon, 4.3228807013, ep_reward, -990.439422024, total reward, 43412.0397624
2019-04-12 23:39:58.876566, duration (m), 2.86802955071, ep, 123, epsilon, 4.3228807013, ep_reward, 5158.31289809, total reward, 48570.3526605
2019-04-12 23:44:23.232323, duration (m), 2.8530521512, ep, 124, epsilon, 4.3228807013, ep_reward, -1953.65909442, total reward, 46616.6935661
2019-04-12 23:46:40.981164, duration (m), 0.755666967233, ep, 125, epsilon, 4.3228807013, ep_reward, -2044.8298992, total reward, 44571.8636669
2019-04-12 23:50: .830786, duration (m), 2.06070041656, ep, 126, epsilon, 4.3228807013, ep_reward, -2290.7352452, total reward, 42281.1284217
2019-04-12 23:54:50.769374, duration (m), 2.89485121568, ep, 127, epsilon, 4.3228807013, ep_reward, -3407.42354592, total reward, 38873.7048757
2019-04-12 23:59:16.773818, duration (m), 2.8886479497, ep, 128, epsilon, 4.3228807013, ep_reward, 8.52469086365, total reward, 38882.2295666
2019-04-13 00:02:08.290797, duration (m), 1.26077128251, ep, 129, epsilon, 4.3228807013, ep_reward, -3163.60626005, total reward, 35718.6233065
2019-04-13 00:04:42.574759, duration (m), 1.03037350178, ep, 130, epsilon, 4.3228807013, ep_reward, 246.251624652, total reward, 35964.8749312
2019-04-13 00:09:21.989867, duration (m), 2.87854518493, ep, 131, epsilon, 4.10673666624, ep_reward, 1872.81601524, total reward, 37837.6909464
2019-04-13 00:13:48.002804, duration (m), 2.87248699665, ep, 132, epsilon, 4.10673666624, ep_reward, 2265.85332596, total reward, 40103.5442724
